dataset,model,context_type,context_value,n_samples,accuracy,macro_f1
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,3,249,0.7751004016064257,0.7200457963089543
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,4,230,0.7391304347826086,0.7230841922595183
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,5,225,0.9111111111111111,0.9115351264776785
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,7,220,0.9454545454545454,0.9267143945163747
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,8,289,0.726643598615917,0.6879902480924053
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,9,271,0.8044280442804428,0.8021213398084974
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,11,184,0.6793478260869565,0.46014631043257
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,14,319,0.9655172413793104,0.9658424044597147
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,15,220,0.95,0.9408505738940521
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,16,243,0.8065843621399177,0.7588739711644328
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,17,204,0.7598039215686274,0.7490615276964111
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,19,194,0.9896907216494846,0.9916630481980026
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,20,307,0.8175895765472313,0.820696518315148
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,21,198,0.9090909090909091,0.7581264008593201
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,22,211,0.8815165876777251,0.8802761258796579
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,23,249,0.7831325301204819,0.7676394535965074
race_2025_clean_laps_top5,hybrid_cnn_tabular,round,24,270,0.9592592592592593,0.9594532303909122
race_2025_clean_laps_top5,lstm,round,2,251,0.199203187250996,0.07168458781362007
race_2025_clean_laps_top5,lstm,round,3,249,0.28112449799196787,0.17681185451279752
race_2025_clean_laps_top5,lstm,round,4,230,0.2782608695652174,0.1699409927108643
race_2025_clean_laps_top5,lstm,round,5,225,0.24888888888888888,0.14696042431660547
race_2025_clean_laps_top5,lstm,round,7,220,0.2636363636363636,0.1367270288397049
race_2025_clean_laps_top5,lstm,round,8,289,0.45674740484429066,0.3725826792255364
race_2025_clean_laps_top5,lstm,round,9,271,0.24354243542435425,0.14081632653061224
race_2025_clean_laps_top5,lstm,round,11,184,0.30434782608695654,0.12005547850208045
race_2025_clean_laps_top5,lstm,round,14,319,0.664576802507837,0.6202198446217786
race_2025_clean_laps_top5,lstm,round,15,220,0.33636363636363636,0.24197575757575757
race_2025_clean_laps_top5,lstm,round,16,243,0.38271604938271603,0.27164010065502603
race_2025_clean_laps_top5,lstm,round,17,204,0.5637254901960784,0.5447625829837179
race_2025_clean_laps_top5,lstm,round,19,194,0.25257731958762886,0.08783131509865356
race_2025_clean_laps_top5,lstm,round,20,307,0.3257328990228013,0.23796736123143428
race_2025_clean_laps_top5,lstm,round,21,198,0.4797979797979798,0.43196235496964686
race_2025_clean_laps_top5,lstm,round,22,211,0.3791469194312796,0.2630622457428808
race_2025_clean_laps_top5,lstm,round,23,249,0.3333333333333333,0.20747206349528552
race_2025_clean_laps_top5,lstm,round,24,270,0.32592592592592595,0.20268122088234933
race_2025_clean_laps_top5,cnn,event_name,Abu Dhabi Grand Prix,270,0.9740740740740741,0.973944163944164
race_2025_clean_laps_top5,cnn,event_name,Austrian Grand Prix,184,0.5217391304347826,0.4776929664289269
race_2025_clean_laps_top5,cnn,event_name,Azerbaijan Grand Prix,204,0.8480392156862745,0.8373522662076878
race_2025_clean_laps_top5,cnn,event_name,Bahrain Grand Prix,230,0.808695652173913,0.8011327125751958
race_2025_clean_laps_top5,cnn,event_name,Chinese Grand Prix,251,0.9442231075697212,0.9430277409763448
race_2025_clean_laps_top5,cnn,event_name,Dutch Grand Prix,220,0.9363636363636364,0.9138873914345613
race_2025_clean_laps_top5,cnn,event_name,Emilia Romagna Grand Prix,220,0.9590909090909091,0.946460778153287
race_2025_clean_laps_top5,cnn,event_name,Hungarian Grand Prix,319,0.9278996865203761,0.929193894287112
race_2025_clean_laps_top5,cnn,event_name,Italian Grand Prix,243,0.9465020576131687,0.9457525032484904
race_2025_clean_laps_top5,cnn,event_name,Japanese Grand Prix,249,0.963855421686747,0.9637892697532088
race_2025_clean_laps_top5,cnn,event_name,Las Vegas Grand Prix,211,0.9241706161137441,0.9226800543083578
race_2025_clean_laps_top5,cnn,event_name,Mexico City Grand Prix,307,0.8078175895765473,0.7625642144914042
race_2025_clean_laps_top5,cnn,event_name,Monaco Grand Prix,289,0.44982698961937717,0.40128458358059876
race_2025_clean_laps_top5,cnn,event_name,Qatar Grand Prix,249,0.8072289156626506,0.7595822167250739
race_2025_clean_laps_top5,cnn,event_name,Saudi Arabian Grand Prix,225,0.8266666666666667,0.8226272093857625
race_2025_clean_laps_top5,cnn,event_name,Spanish Grand Prix,271,0.8228782287822878,0.8241666688140828
race_2025_clean_laps_top5,cnn,event_name,São Paulo Grand Prix,198,0.9747474747474747,0.783181493556901
race_2025_clean_laps_top5,cnn,event_name,United States Grand Prix,194,0.8711340206185567,0.882763696033216
race_2025_clean_laps_top5,gru,event_name,Abu Dhabi Grand Prix,270,0.5333333333333333,0.5308518890517038
race_2025_clean_laps_top5,gru,event_name,Austrian Grand Prix,184,0.4945652173913043,0.27733042283127174
race_2025_clean_laps_top5,gru,event_name,Azerbaijan Grand Prix,204,0.75,0.6938089428476513
race_2025_clean_laps_top5,gru,event_name,Bahrain Grand Prix,230,0.24782608695652175,0.13607801349736834
