experiment,model,importance_type,feature,importance
experiment_a_with_time_features,xgboost,feature_importance,num__speed_range,0.01069413498044014
experiment_a_with_time_features,xgboost,feature_importance,num__speed_diff_abs_max,0.010531635954976082
experiment_a_with_time_features,xgboost,feature_importance,num__speed_cv,0.010278871282935143
experiment_a_with_time_features,xgboost,feature_importance,num__sector2_share,0.009400887414813042
experiment_a_with_time_features,xgboost,feature_importance,num__gear_std,0.00939556211233139
experiment_a_with_time_features,xgboost,feature_importance,num__rpm_cv,0.009294211864471436
experiment_a_with_time_features,xgboost,feature_importance,num__speed_median,0.009057365357875824
experiment_a_with_time_features,xgboost,feature_importance,num__LapTimeSeconds,0.008999201469123363
experiment_a_with_time_features,xgboost,feature_importance,num__n_samples,0.008916950784623623
experiment_a_with_time_features,xgboost,feature_importance,num__sector3_share,0.008826182223856449
experiment_a_with_time_features,xgboost,feature_importance,num__first_brake_frac_pos,0.008822930045425892
experiment_a_with_time_features,xgboost,feature_importance,num__Sector3TimeSeconds,0.008713657967746258
experiment_a_with_time_features,xgboost,feature_importance,num__speed_diff_std,0.008660304360091686
experiment_a_with_time_features,xgboost,feature_importance,num__speed_diff_mean,0.008537400513887405
experiment_a_with_time_features,xgboost,feature_importance,num__speed_p25,0.008487413637340069
experiment_a_with_time_features,xgboost,feature_importance,num__last_full_throttle_frac_pos,0.008344181813299656
experiment_a_with_time_features,xgboost,feature_importance,num__sector1_share,0.00819469802081585
experiment_a_with_time_features,xgboost,feature_importance,num__speed_p75,0.008164794184267521
experiment_a_with_time_features,xgboost,feature_importance,num__speed_min,0.008147400803864002
experiment_a_with_time_features,xgboost,feature_importance,num__throttle_p25,0.008139707148075104
experiment_a_with_time_features,xgboost,feature_importance,num__last_brake_frac_pos,0.007941274903714657
experiment_a_with_time_features,xgboost,feature_importance,num__Sector2TimeSeconds,0.007199906278401613
experiment_a_with_time_features,xgboost,feature_importance,num__speed_std,0.006703599356114864
experiment_a_with_time_features,xgboost,feature_importance,num__sector_sum_seconds,0.005684962496161461
experiment_a_with_time_features,xgboost,feature_importance,num__gear_min,0.005263101775199175
experiment_a_with_time_features,xgboost,feature_importance,num__first_full_throttle_frac_pos,0.0
experiment_a_with_time_features,xgboost,feature_importance,num__brake_max,0.0
experiment_a_with_time_features,xgboost,feature_importance,num__brake_diff_abs_max,0.0
experiment_a_with_time_features,xgboost,feature_importance,num__brake_p90,0.0
experiment_a_with_time_features,xgboost,feature_importance,cat__Compound_HARD,0.0
experiment_a_with_time_features,xgboost,feature_importance,cat__Compound_MEDIUM,0.0
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_mean,1.2292683551244166
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_std,1.1745400944642415
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_zero_frac,1.153708668318734
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_full_frac,1.0610352981179443
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_mid_frac,0.9349064892422996
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_p75,0.9059581551358742
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_std,0.8373754490448366
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_change_count,0.8103187772139249
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_abs_mean,0.7857994616261518
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_max,0.7669749851409097
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_std,0.7445511461064953
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_median,0.718078087895294
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_mean,0.6751836255710042
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_std,0.6513412819975778
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_diff_abs_mean,0.6386249479375506
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__rpm_mean,0.5943225101421528
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_low_frac,0.5721163041429386
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_diff_abs_mean,0.5566832615510368
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_std,0.5564169102764934
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_p90,0.5529855402286398
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__throttle_diff_abs_max,0.5502580108753442
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__gear_median,0.5486652660883828
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__brake_std,0.5315432664531065
experiment_b_without_time_features,logistic_regression,mean_abs_coef,num__speed_median,0.5313255223935202
