subset_name,config_name,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,compact_no_context_no_speed,50,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8393788819875775,0.15446205170975824,0.15131317166456915
distinctive_top5,compact_no_context_no_speed,50,2,0.9724770642201835,0.9721987315010571,0.9723879425748972,0.8,0.8,0.8019480519480519,0.1724770642201835,0.1704398906268454
distinctive_top5,compact_no_context_no_speed,50,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8585214785214784,0.13628023352794005,0.132328194681136
distinctive_top5,compact_no_context_no_speed,50,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.7962962962962963,0.7963636363636364,0.7913043478260869,0.19913749365804156,0.20414961058796444
distinctive_top5,compact_no_context_no_speed,50,5,0.9726027397260274,0.9725158562367865,0.9726096141792663,0.8888888888888888,0.8872727272727273,0.8872350837568229,0.08371385083713856,0.08537453042244336
distinctive_top5,compact_no_context_no_phase_no_speed,46,1,0.9862385321100917,0.9860465116279069,0.9860428226686546,0.8545454545454545,0.8545454545454545,0.8568831168831169,0.13169307756463722,0.1291597057855377
distinctive_top5,compact_no_context_no_phase_no_speed,46,2,0.9724770642201835,0.9721987315010571,0.9723879425748972,0.8363636363636363,0.8363636363636365,0.8381874647092038,0.13611342785654723,0.13420047786569345
distinctive_top5,compact_no_context_no_phase_no_speed,46,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8585214785214784,0.13628023352794005,0.132328194681136
distinctive_top5,compact_no_context_no_phase_no_speed,46,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8295818597878094,0.16210045662100447,0.16587209862624197
distinctive_top5,compact_no_context_no_phase_no_speed,46,5,0.9726027397260274,0.9725158562367865,0.9726096141792663,0.8703703703703703,0.8690909090909091,0.870016939582157,0.10223236935565705,0.1025926745971093
distinctive_top5,compact_core_behavior,46,1,0.9862385321100917,0.9860465116279069,0.9860428226686546,0.8545454545454545,0.8545454545454545,0.8568831168831169,0.13169307756463722,0.1291597057855377
distinctive_top5,compact_core_behavior,46,2,0.9724770642201835,0.9721987315010571,0.9723879425748972,0.8363636363636363,0.8363636363636365,0.8381874647092038,0.13611342785654723,0.13420047786569345
distinctive_top5,compact_core_behavior,46,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8585214785214784,0.13628023352794005,0.132328194681136
distinctive_top5,compact_core_behavior,46,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.8333333333333334,0.8345454545454546,0.8295818597878094,0.16210045662100447,0.16587209862624197
distinctive_top5,compact_core_behavior,46,5,0.9726027397260274,0.9725158562367865,0.9726096141792663,0.8703703703703703,0.8690909090909091,0.870016939582157,0.10223236935565705,0.1025926745971093
distinctive_top5,compact_controls_powertrain_dynamics,50,1,0.9908256880733946,0.9906976744186047,0.9906920536521466,0.8363636363636363,0.8363636363636363,0.8393788819875775,0.15446205170975824,0.15131317166456915
distinctive_top5,compact_controls_powertrain_dynamics,50,2,0.9724770642201835,0.9721987315010571,0.9723879425748972,0.8,0.8,0.8019480519480519,0.1724770642201835,0.1704398906268454
distinctive_top5,compact_controls_powertrain_dynamics,50,3,0.9908256880733946,0.9906976744186047,0.9908496732026144,0.8545454545454545,0.8545454545454545,0.8585214785214784,0.13628023352794005,0.132328194681136
distinctive_top5,compact_controls_powertrain_dynamics,50,4,0.9954337899543378,0.9954545454545455,0.9954539584140514,0.7962962962962963,0.7963636363636364,0.7913043478260869,0.19913749365804156,0.20414961058796444
distinctive_top5,compact_controls_powertrain_dynamics,50,5,0.9726027397260274,0.9725158562367865,0.9726096141792663,0.8888888888888888,0.8872727272727273,0.8872350837568229,0.08371385083713856,0.08537453042244336
distinctive_top5,compact_vehicle_state,38,1,0.9357798165137615,0.9355179704016914,0.9354627580321051,0.7818181818181819,0.7818181818181819,0.7819875776397516,0.15396163469557966,0.15347518039235353
