subset_name,event_name,n_drivers,n_samples,n_sessions,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap
confusion_union_top3_pairs,Mexico City Grand Prix,6,18,3,1.0,0.5,0.5,1.0,0.4444444444444444,0.5555555555555556
confusion_union_top3_pairs,Miami Grand Prix,6,18,3,1.0,0.16666666666666666,0.8333333333333334,1.0,0.13888888888888887,0.8611111111111112
confusion_union_top3_pairs,Monaco Grand Prix,6,18,3,1.0,0.7222222222222222,0.2777777777777778,1.0,0.6388888888888888,0.36111111111111116
confusion_union_top3_pairs,Qatar Grand Prix,6,18,3,1.0,0.6111111111111112,0.38888888888888884,1.0,0.5092592592592592,0.49074074074074076
confusion_union_top3_pairs,Saudi Arabian Grand Prix,6,18,3,1.0,0.5555555555555555,0.4444444444444445,1.0,0.4444444444444444,0.5555555555555555
confusion_union_top3_pairs,Singapore Grand Prix,6,18,3,1.0,0.5555555555555555,0.4444444444444445,1.0,0.48148148148148145,0.5185185185185185
confusion_union_top3_pairs,United States Grand Prix,6,18,3,1.0,0.5555555555555555,0.4444444444444445,1.0,0.4388888888888889,0.561111111111111
confusion_pair_NOR_PIA,Abu Dhabi Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_NOR_PIA,Austrian Grand Prix,2,6,3,1.0,0.8333333333333334,0.16666666666666666,1.0,0.7777777777777777,0.22222222222222224
confusion_pair_NOR_PIA,Bahrain Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.4444444444444444,0.5555555555555556
confusion_pair_NOR_PIA,Italian Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_NOR_PIA,Japanese Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_NOR_PIA,Mexico City Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_NOR_PIA,Miami Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_NOR_PIA,Monaco Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_NOR_PIA,Qatar Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_NOR_PIA,Saudi Arabian Grand Prix,2,6,3,1.0,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666
confusion_pair_NOR_PIA,Singapore Grand Prix,2,6,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5555555555555555,0.4444444444444445
confusion_pair_NOR_PIA,United States Grand Prix,2,6,3,1.0,1.0,0.0,1.0,1.0,0.0
