driver,feature,coef,abs_coef
SAI,num__throttle_p10,-0.013950575723884744,0.013950575723884744
SAI,num__throttle_p25,0.004339366364323566,0.004339366364323566
SAI,num__speed_mean,0.0,0.0
SAI,num__speed_min,0.0,0.0
SAI,num__speed_max,0.0,0.0
SAI,num__speed_range,0.0,0.0
SAI,num__throttle_mean,0.0,0.0
SAI,num__throttle_std,0.0,0.0
SAI,num__throttle_max,0.0,0.0
SAI,num__throttle_median,0.0,0.0
SAI,num__brake_mean,0.0,0.0
SAI,num__brake_std,0.0,0.0
SAI,num__brake_max,0.0,0.0
SAI,num__rpm_mean,0.0,0.0
SAI,num__rpm_max,0.0,0.0
SAI,num__rpm_median,0.0,0.0
SAI,num__gear_std,0.0,0.0
SAI,num__gear_max,0.0,0.0
SAI,num__gear_median,0.0,0.0
SAI,num__throttle_zero_frac,0.0,0.0
SAI,num__throttle_low_frac,0.0,0.0
SAI,num__throttle_mid_frac,0.0,0.0
SAI,num__throttle_high_frac,0.0,0.0
SAI,num__brake_active_frac,0.0,0.0
SAI,num__speed_diff_mean,0.0,0.0
SAI,num__speed_diff_abs_mean,0.0,0.0
SAI,num__speed_diff_abs_max,0.0,0.0
SAI,num__throttle_diff_mean,0.0,0.0
SAI,num__brake_diff_abs_mean,0.0,0.0
SAI,num__brake_diff_abs_max,0.0,0.0
SAI,num__speed_cv,0.0,0.0
SAI,num__speed_p10,0.0,0.0
SAI,num__speed_p25,0.0,0.0
SAI,num__speed_p75,0.0,0.0
SAI,num__speed_p90,0.0,0.0
SAI,num__throttle_p90,0.0,0.0
SAI,num__brake_p90,0.0,0.0
VER,num__throttle_mid_frac,-3.340125216838989,3.340125216838989
VER,num__throttle_std,2.521559939728518,2.521559939728518
VER,num__throttle_diff_abs_mean,1.3651916044478203,1.3651916044478203
VER,num__brake_diff_std,-1.1378503941636409,1.1378503941636409
VER,num__brake_mean,-0.9922769222841711,0.9922769222841711
VER,num__brake_active_frac,-0.9922769222841711,0.9922769222841711
VER,num__gear_min,0.8009406268982104,0.8009406268982104
VER,num__gear_mean,-0.7521430930945311,0.7521430930945311
VER,num__speed_diff_std,-0.5015240685680611,0.5015240685680611
VER,num__brake_std,-0.3768596860701945,0.3768596860701945
VER,num__gear_change_count,-0.2993556478226486,0.2993556478226486
VER,num__speed_diff_mean,-0.24935478494969016,0.24935478494969016
VER,num__throttle_median,0.10771643211640604,0.10771643211640604
