subset_name,penalty,C,class_weight,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,l1,0.1,none,4,0.7214611872146118,0.7204016913319238,0.7155677071466545,0.6851851851851852,0.6836363636363636,0.6777449552735595,0.0362760020294266,0.03782275187309503
distinctive_top5,l1,0.1,none,5,0.7031963470319634,0.7031712473572939,0.6994630249658712,0.7407407407407407,0.74,0.741280077664517,-0.03754439370877727,-0.041817052698645774
distinctive_top5,l1,0.1,balanced,1,0.7155963302752294,0.7147991543340381,0.7100143960007161,0.6909090909090909,0.6909090909090909,0.6919047619047618,0.02468723936613848,0.01810963409595434
distinctive_top5,l1,0.1,balanced,2,0.7201834862385321,0.7191331923890063,0.7161149425287355,0.5818181818181818,0.5818181818181818,0.5820460241512873,0.13836530442035033,0.13406891837744828
distinctive_top5,l1,0.1,balanced,3,0.6972477064220184,0.6966173361522199,0.6903155338162511,0.7454545454545455,0.7454545454545454,0.740244461420932,-0.04820683903252709,-0.04992892760468093
distinctive_top5,l1,0.1,balanced,4,0.726027397260274,0.7250528541226215,0.7208685937718197,0.6851851851851852,0.6836363636363636,0.6777449552735595,0.04084221207508876,0.043123638498260175
distinctive_top5,l1,0.1,balanced,5,0.6940639269406392,0.6940803382663849,0.6919986372414149,0.7407407407407407,0.74,0.741280077664517,-0.04667681380010147,-0.04928144042310212
distinctive_top5,l1,0.25,none,1,0.8715596330275229,0.8712473572938689,0.8704781008086246,0.8181818181818182,0.8181818181818181,0.8219108156865594,0.053377814845704696,0.04856728512206521
distinctive_top5,l1,0.25,none,2,0.8807339449541285,0.8802325581395349,0.8802573689985407,0.7272727272727273,0.7272727272727273,0.730556826849733,0.1534612176814012,0.14970054214880768
distinctive_top5,l1,0.25,none,3,0.8807339449541285,0.8805496828752644,0.8802299698692471,0.8181818181818182,0.8181818181818181,0.8182353878006052,0.06255212677231026,0.061994582068641835
distinctive_top5,l1,0.25,none,4,0.8949771689497716,0.8947145877378435,0.8946317856040811,0.8148148148148148,0.8145454545454545,0.8113817151574588,0.08016235413495687,0.08325007044662225
distinctive_top5,l1,0.25,none,5,0.8995433789954338,0.8994714587737842,0.8998704754157497,0.8333333333333334,0.8327272727272728,0.8311311876529267,0.06621004566210043,0.06873928776282301
distinctive_top5,l1,0.25,balanced,1,0.8761467889908257,0.8758985200845666,0.8750836639641193,0.8,0.8,0.8014262709914884,0.07614678899082561,0.07365739297263085
distinctive_top5,l1,0.25,balanced,2,0.8807339449541285,0.8802325581395349,0.8802573689985407,0.7272727272727273,0.7272727272727273,0.730556826849733,0.1534612176814012,0.14970054214880768
distinctive_top5,l1,0.25,balanced,3,0.8807339449541285,0.8805496828752644,0.8802299698692471,0.8181818181818182,0.8181818181818181,0.8182353878006052,0.06255212677231026,0.061994582068641835
distinctive_top5,l1,0.25,balanced,4,0.8995433789954338,0.8993657505285413,0.8992105445846906,0.7962962962962963,0.7963636363636364,0.7929401567159003,0.10324708269913752,0.10627038786879028
distinctive_top5,l1,0.25,balanced,5,0.8995433789954338,0.8994714587737842,0.8998704754157497,0.8333333333333334,0.8327272727272728,0.8311311876529267,0.06621004566210043,0.06873928776282301
distinctive_top5,l1,0.5,none,1,0.9311926605504587,0.9310782241014799,0.9308873871833965,0.8545454545454545,0.8545454545454545,0.8557575757575758,0.07664720600500419,0.07512981142582065
distinctive_top5,l1,0.5,none,2,0.9311926605504587,0.9308668076109935,0.9311527423886975,0.8,0.8,0.8070138557095079,0.13119266055045864,0.1241388866791896
distinctive_top5,l1,0.5,none,3,0.944954128440367,0.9449260042283297,0.9453049257455126,0.8727272727272727,0.8727272727272728,0.8739130434782609,0.07222685571309428,0.07139188226725168
distinctive_top5,l1,0.5,none,4,0.9452054794520548,0.9451374207188161,0.9452096643901007,0.8148148148148148,0.8145454545454547,0.8127030025657028,0.13039066463724003,0.13250666182439785
distinctive_top5,l1,0.5,none,5,0.9452054794520548,0.9451374207188159,0.9453268998299424,0.8518518518518519,0.850909090909091,0.8510446075663467,0.09335362760020294,0.09428229226359575
distinctive_top5,l1,0.5,balanced,1,0.9311926605504587,0.9310782241014799,0.9308873871833965,0.8545454545454545,0.8545454545454545,0.8557575757575758,0.07664720600500419,0.07512981142582065
distinctive_top5,l1,0.5,balanced,2,0.9311926605504587,0.9308668076109935,0.9311527423886975,0.8,0.8,0.8070138557095079,0.13119266055045864,0.1241388866791896
distinctive_top5,l1,0.5,balanced,3,0.944954128440367,0.9449260042283297,0.9453049257455126,0.8727272727272727,0.8727272727272728,0.8739130434782609,0.07222685571309428,0.07139188226725168
distinctive_top5,l1,0.5,balanced,4,0.9497716894977168,0.9497885835095138,0.9499129410496016,0.8148148148148148,0.8145454545454547,0.8127030025657028,0.13495687468290207,0.13720993848389873
distinctive_top5,l1,0.5,balanced,5,0.9452054794520548,0.9451374207188159,0.9453268998299424,0.8518518518518519,0.850909090909091,0.8510446075663467,0.09335362760020294,0.09428229226359575
distinctive_top5,l1,1.0,none,1,0.9724770642201835,0.9723044397463003,0.9722965167072928,0.8727272727272727,0.8727272727272727,0.8746853146853146,0.09974979149291086,0.09761120202197815
distinctive_top5,l1,1.0,none,2,0.9678899082568807,0.9675475687103594,0.9675754046937127,0.8,0.8,0.8090351966873707,0.16788990825688066,0.15854020800634205
distinctive_top5,l1,1.0,none,3,0.9770642201834863,0.976955602536998,0.9770029861007281,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.12251876563803177,0.12023279976532442
distinctive_top5,l1,1.0,none,4,0.9817351598173516,0.9817124735729387,0.9817623720149331,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.12988330796549974,0.1307177644485864
distinctive_top5,l1,1.0,none,5,0.9634703196347032,0.9634249471458773,0.9634706087241585,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.09309994926433285,0.09424418297599368
distinctive_top5,l1,1.0,balanced,1,0.9724770642201835,0.9723044397463003,0.9722965167072928,0.8727272727272727,0.8727272727272727,0.8746853146853146,0.09974979149291086,0.09761120202197815
distinctive_top5,l1,1.0,balanced,2,0.9678899082568807,0.9675475687103594,0.9675754046937127,0.8,0.8,0.8090351966873707,0.16788990825688066,0.15854020800634205
distinctive_top5,l1,1.0,balanced,3,0.9770642201834863,0.976955602536998,0.9770029861007281,0.8545454545454545,0.8545454545454545,0.8567701863354037,0.12251876563803177,0.12023279976532442
distinctive_top5,l1,1.0,balanced,4,0.9817351598173516,0.9817124735729387,0.9817623720149331,0.8518518518518519,0.8527272727272728,0.8510446075663467,0.12988330796549974,0.1307177644485864
distinctive_top5,l1,1.0,balanced,5,0.9634703196347032,0.9634249471458773,0.9634706087241585,0.8703703703703703,0.8690909090909091,0.8692264257481648,0.09309994926433285,0.09424418297599368
