dataset,group_type,group_name,speed_mean,speed_max,speed_std,speed_min,throttle_mean,throttle_std,throttle_zero_frac,throttle_mid_frac,throttle_full_frac,throttle_diff_std,throttle_diff_abs_mean,brake_active_frac,brake_on_count,brake_std,gear_mean,gear_std,gear_change_count,rpm_mean,rpm_std,rpm_max,rpm_diff_std,speed_q90
short_qualifying_2023_2025,Driver,PIA,222.60664321145885,325.8909090909091,68.69877411412565,78.0909090909091,70.79889306336507,40.33758148922004,0.18302024895507915,0.12087453757487471,0.604142156503396,17.105818621464724,5.766614652879038,0.15690515800505292,17.21818181818182,0.36036516434167265,5.603610817510629,1.8273646631656686,37.836363636363636,10495.19942798499,1197.0747241888405,12139.218181818182,493.3945605577443,
short_qualifying_2023_2025,Driver,RUS,218.3598398719042,321.3636363636364,67.46183375422609,75.21818181818182,71.66346685153098,38.68855890823795,0.18973040961824136,0.13618457060011602,0.6129281735844668,16.368074270147783,5.507423079026061,0.16701430859570163,18.30909090909091,0.3662685245930817,5.590324741377171,1.777409404177775,38.345454545454544,10389.711157060638,1278.8615623381577,12139.054545454546,477.8464586944507,
short_qualifying_2023_2025,Driver,SAI,221.44580163202957,328.77777777777777,69.33930658743881,76.0925925925926,72.66902321044036,38.77400138962867,0.1409890967419091,0.15772847158439784,0.6111936256690853,16.103239783789228,5.760072328189974,0.18762530259492272,20.22222222222222,0.38764426607773683,5.734451028577161,1.7374082176587824,35.48148148148148,10414.95548029103,1357.5266836290248,12220.87037037037,512.8014317857027,
short_qualifying_2023_2025,Driver,STR,219.38882157308996,327.44444444444446,69.4753233847388,74.0925925925926,71.61895607360604,39.818028887593584,0.15593825416202053,0.12877165417954442,0.627460636620451,17.58108590076122,6.008653479751706,0.1746823894718011,20.814814814814813,0.3764591809526842,5.670406885857896,1.8426658073971014,40.55555555555556,10448.329841509949,1308.255640801267,12203.314814814816,492.4187813817153,
short_qualifying_2023_2025,Driver,TSU,220.25244232772928,327.4074074074074,69.48887598161424,75.9074074074074,72.25641357036235,40.38852379221358,0.19127818109207959,0.11875798889035616,0.6134075504988385,17.665901846464646,5.708909474500515,0.1594986575181603,18.074074074074073,0.36342363270071204,5.463163178802944,1.797429869967171,36.592592592592595,10464.2957437987,1324.4779296450474,12303.981481481482,496.89144198456455,
short_qualifying_2023_2025,Driver,VER,222.86160468408406,329.3636363636364,69.15791258859194,77.41818181818182,72.21762807055862,40.65630063201139,0.17383681131357373,0.11026480096748402,0.632259072938834,17.992466627495304,5.931186304384553,0.17007386455324205,18.09090909090909,0.3732039126742777,5.572289177746775,1.7490172349232394,35.63636363636363,10431.291992650073,1306.4752788294907,12147.89090909091,484.9202418772035,
long_qualifying_2018_2025_top5,Team,Alpine,218.91635867152104,325.3529411764706,68.34827542644531,77.54411764705883,71.76744052204872,40.02318747715377,0.1691135972430431,0.2563214876903241,0.5745649150666328,16.759421226755993,5.565438353726713,0.18762864118829375,10.897058823529411,0.38721352503497725,5.420867503956332,1.7561920074938764,38.10294117647059,10320.930771020781,1242.5667366895848,12011.161764705883,477.4859881669728,303.84411764705885
long_qualifying_2018_2025_top5,Team,Ferrari,222.78475606164463,326.21004566210047,68.24700870898161,78.21004566210046,74.1983113127419,37.51510427937418,0.08586261975569552,0.30303675533633156,0.6111006249079728,16.011958588437707,5.5808948817904485,0.1759839962271532,9.904109589041095,0.37798104965890694,5.7236463043185095,1.7113723313767453,35.57534246575342,10483.739120337055,1272.505226044706,12175.04109589041,480.93068485915046,306.14246575342463
long_qualifying_2018_2025_top5,Team,Force India,213.32557151592172,322.77777777777777,70.7738852419607,71.55555555555556,68.26787786036996,40.627913988835516,0.117988969054935,0.32337060478914753,0.5586404261559175,15.542327893769674,5.2121371164860415,0.21549590875905425,8.777777777777779,0.408146833345,5.504378869460171,1.820381188354508,31.333333333333332,10312.199242836174,1401.3387124343014,12283.444444444445,493.71144530886954,303.5444444444445
long_qualifying_2018_2025_top5,Team,Haas F1 Team,223.39156322379196,327.22727272727275,67.95650159653198,77.4090909090909,73.30150837188611,38.970365356682166,0.13464635286579835,0.2536583187928741,0.6116953283413276,16.211469400818245,5.511722713933724,0.19538236221598806,11.045454545454545,0.3941762927770886,5.72956015291835,1.6569994531104697,34.81818181818182,10431.942594961509,1311.553787077726,12014.272727272728,473.75603938446653,305.70454545454544
long_qualifying_2018_2025_top5,Team,McLaren,224.88074000344764,326.37142857142857,68.07893224119923,79.42857142857143,73.39903400971181,39.617168810447694,0.16816884152110534,0.21229484940233145,0.6195363090765631,16.637682623336378,5.364114729530442,0.15970511406733534,7.714285714285714,0.36359559960745075,5.7789196428960325,1.8128148865160711,35.0,10395.895349122637,1187.7728782057538,11924.657142857142,469.3752150999269,308.0314285714286
long_qualifying_2018_2025_top5,Team,Mercedes,222.61171730951634,324.9754098360656,68.0072352457855,79.42622950819673,73.99949958706837,38.53826348174334,0.13806698805326595,0.24645571249420026,0.6154772994525337,15.346652461252106,5.365549746069133,0.16169652923774983,8.442622950819672,0.3649525988026947,5.718305721321793,1.82122899372518,36.41803278688525,10558.959042251588,1313.7653791849546,12421.008196721312,483.46878386011144,306.2950819672131
