subset_name,config_name,config_type,n_features,fold,train_accuracy,train_balanced_accuracy,train_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,accuracy_gap,macro_f1_gap
distinctive_top5,only_powertrain,family_only,12,5,0.5616438356164384,0.5622621564482031,0.556579955636217,0.4444444444444444,0.44727272727272727,0.4335934065934066,0.11719939117199396,0.12298654904281037
distinctive_top5,only_phase,family_only,4,1,0.21559633027522937,0.2160676532769556,0.1673853178410262,0.18181818181818182,0.18181818181818182,0.13343965975544922,0.03377814845704755,0.03394565808557698
distinctive_top5,only_phase,family_only,4,2,0.22935779816513763,0.22938689217758984,0.19641097265963758,0.2,0.2,0.17024453024453026,0.029357798165137616,0.02616644241510732
distinctive_top5,only_phase,family_only,4,3,0.2018348623853211,0.2014799154334038,0.18480998891340752,0.2545454545454545,0.2545454545454546,0.1924249562525239,-0.05271059216013341,-0.007614967339116374
distinctive_top5,only_phase,family_only,4,4,0.228310502283105,0.22727272727272724,0.1628728227153424,0.2037037037037037,0.2127272727272727,0.1345607235142119,0.024606798579401318,0.02831209920113051
distinctive_top5,only_phase,family_only,4,5,0.2191780821917808,0.21997885835095135,0.18942715837621496,0.2222222222222222,0.22000000000000003,0.18926793013749538,-0.0030441400304414,0.00015922823871958314
distinctive_top5,only_dynamics,family_only,15,1,0.6880733944954128,0.687737843551797,0.6886743195539144,0.6363636363636364,0.6363636363636365,0.6438713450292397,0.05170975813177647,0.044802974524674744
distinctive_top5,only_dynamics,family_only,15,2,0.7201834862385321,0.7198731501057083,0.7193927553746107,0.5454545454545454,0.5454545454545454,0.5446473099745411,0.1747289407839867,0.17474544540006953
distinctive_top5,only_dynamics,family_only,15,3,0.7064220183486238,0.7060253699788583,0.7074867937257219,0.6,0.6,0.6001532567049808,0.10642201834862386,0.10733353702074111
distinctive_top5,only_dynamics,family_only,15,4,0.7031963470319634,0.7031712473572939,0.7072101223569144,0.6481481481481481,0.6454545454545455,0.6356310508713254,0.05504819888381529,0.07157907148558895
distinctive_top5,only_dynamics,family_only,15,5,0.684931506849315,0.6845665961945031,0.6873699914748508,0.6481481481481481,0.6454545454545455,0.6447644143296316,0.03678335870116689,0.042605577145219176
distinctive_top5,only_controls,family_only,23,1,0.8073394495412844,0.8065539112050739,0.8061191873260839,0.6909090909090909,0.690909090909091,0.6929346778317029,0.11643035863219353,0.11318450949438097
distinctive_top5,only_controls,family_only,23,2,0.7889908256880734,0.7884778012684989,0.7894902223590079,0.7636363636363637,0.7636363636363637,0.7638296003513394,0.02535446205170977,0.0256606220076685
distinctive_top5,only_controls,family_only,23,3,0.7660550458715596,0.7653276955602537,0.763653293224549,0.7272727272727273,0.7272727272727273,0.7293175230566534,0.0387823185988323,0.034335770167895574
distinctive_top5,only_controls,family_only,23,4,0.776255707762557,0.7755813953488373,0.7709412804289555,0.7222222222222222,0.72,0.7219130434782608,0.054033485540334825,0.04902823695069469
distinctive_top5,only_controls,family_only,23,5,0.7488584474885844,0.7486257928118393,0.7477077171194818,0.7407407407407407,0.7345454545454546,0.7276240667545014,0.008117706747843734,0.020083650364980388
distinctive_top5,only_vehicle_state,family_only,38,1,0.9357798165137615,0.9355179704016914,0.9354627580321051,0.7818181818181819,0.7818181818181819,0.7819875776397516,0.15396163469557966,0.15347518039235353
distinctive_top5,only_vehicle_state,family_only,38,2,0.9495412844036697,0.9493657505285412,0.9491393147727901,0.8,0.8,0.795552692921114,0.14954128440366965,0.15358662185167615
distinctive_top5,only_vehicle_state,family_only,38,3,0.944954128440367,0.9449260042283297,0.9452240008053963,0.8545454545454545,0.8545454545454547,0.8521496428819082,0.09040867389491247,0.09307435792348806
distinctive_top5,only_vehicle_state,family_only,38,4,0.9452054794520548,0.9451374207188159,0.9450323404703805,0.7962962962962963,0.7981818181818181,0.7963485789572745,0.14890918315575852,0.14868376151310603
distinctive_top5,only_vehicle_state,family_only,38,5,0.954337899543379,0.9542283298097252,0.9543555637925347,0.7962962962962963,0.7963636363636365,0.7908179539758488,0.15804160324708272,0.16353760981668597
