team,leader_driver,teammate_driver,season,round,session_key,event_name,LapTimeSeconds_std_signed_gap,LapTimeSeconds_std_abs_gap,speed_min_std_signed_gap,speed_min_std_abs_gap,speed_mean_std_signed_gap,speed_mean_std_abs_gap,throttle_full_frac_std_signed_gap,throttle_full_frac_std_abs_gap,throttle_mid_frac_std_signed_gap,throttle_mid_frac_std_abs_gap,throttle_diff_abs_mean_std_signed_gap,throttle_diff_abs_mean_std_abs_gap,brake_active_frac_std_signed_gap,brake_active_frac_std_abs_gap,brake_on_count_std_signed_gap,brake_on_count_std_abs_gap,rpm_diff_abs_mean_std_signed_gap,rpm_diff_abs_mean_std_abs_gap,gear_change_count_std_signed_gap,gear_change_count_std_abs_gap,mean_style_distance_proxy,mean_signed_proxy
Red Bull Racing,VER,PER,2024,24,2024_24_Q,Abu Dhabi Grand Prix,-0.02983706950769632,0.02983706950769632,0.12796923760976425,0.12796923760976425,0.00015776170509475181,0.00015776170509475181,-0.17504692490606524,0.17504692490606524,0.39464265876478954,0.39464265876478954,0.2696370407744662,0.2696370407744662,-0.3442262067648438,0.3442262067648438,0.0,0.0,-0.047820051858350934,0.047820051858350934,-0.39890681761285457,0.39890681761285457,0.17882437695039255,-0.020343037179569617
Red Bull Racing,VER,PER,2024,2,2024_2_Q,Saudi Arabian Grand Prix,-0.03133359963974427,0.03133359963974427,0.0,0.0,0.23158659485494143,0.23158659485494143,0.2610033903513097,0.2610033903513097,-0.09562510961365071,0.09562510961365071,-0.33098646858118863,0.33098646858118863,-0.22556465974230472,0.22556465974230472,0.0,0.0,-0.10884082118103022,0.10884082118103022,0.2659378784085697,0.2659378784085697,0.15508785223727395,-0.0033822795143097716
Red Bull Racing,VER,PER,2024,4,2024_4_Q,Japanese Grand Prix,-0.006173186794695973,0.006173186794695973,-0.06398461880488213,0.06398461880488213,0.10213354409218614,0.10213354409218614,-0.1725320995260851,0.1725320995260851,-0.14244383917059691,0.14244383917059691,-0.1343408903132414,0.1343408903132414,0.2783975511245711,0.2783975511245711,0.0,0.0,-0.10265351825035246,0.10265351825035246,-0.2659378784085697,0.2659378784085697,0.12685971264851809,-0.05075349360516664
Red Bull Racing,VER,PER,2024,5,2024_5_Q,Chinese Grand Prix,-0.030117668907455226,0.030117668907455226,0.2559384752195285,0.2559384752195285,0.048927203756069924,0.048927203756069924,-0.27720553006105786,0.27720553006105786,-0.2570956986047233,0.2570956986047233,-0.10390413347319305,0.10390413347319305,0.29560884566410545,0.29560884566410545,-0.8349763496671128,0.8349763496671128,0.2824629188016919,0.2824629188016919,-0.2659378784085697,0.2659378784085697,0.26521747025635073,-0.08862998156807163
Red Bull Racing,VER,PER,2024,6,2024_6_Q,Miami Grand Prix,-0.020483756182398945,0.020483756182398945,-0.06398461880488213,0.06398461880488213,0.1050508226398653,0.1050508226398653,0.1982915230392479,0.1982915230392479,-0.21549766209676058,0.21549766209676058,0.41252043988548237,0.41252043988548237,-0.021486069694718758,0.021486069694718758,0.0,0.0,0.5413289604147483,0.5413289604147483,-0.5318757568171394,0.5318757568171394,0.21105196095752438,0.04038638823834441
Red Bull Racing,VER,PER,2024,7,2024_7_Q,Emilia Romagna Grand Prix,-0.08979180792284787,0.08979180792284787,0.575861569243939,0.575861569243939,0.21087653894395558,0.21087653894395558,0.05203264732270597,0.05203264732270597,-0.11482877044264946,0.11482877044264946,-0.24807122401306758,0.24807122401306758,0.17235986602703268,0.17235986602703268,0.0,0.0,-0.12189311950490767,0.12189311950490767,-0.6648446960214243,0.6648446960214243,0.225056023944253,-0.02282989963672636
Red Bull Racing,VER,PER,2024,8,2024_8_Q,Monaco Grand Prix,-0.13964496794667872,0.13964496794667872,0.06398461880488213,0.06398461880488213,0.15235603509193904,0.15235603509193904,0.11094943274130374,0.11094943274130374,-0.7037345729143124,0.7037345729143124,0.24539918375397898,0.24539918375397898,-0.377437737123301,0.377437737123301,0.0,0.0,-0.6215894126293077,0.6215894126293077,-0.13296893920428485,0.13296893920428485,0.25480649002099887,-0.14026863594257805
Red Bull Racing,VER,TSU,2025,10,2025_10_Q,Canadian Grand Prix,-0.09755505798284388,0.09755505798284388,-0.2559384752195285,0.2559384752195285,0.19923028039416668,0.19923028039416668,0.17472874232678848,0.17472874232678848,-0.16207285635035462,0.16207285635035462,0.4858998271694416,0.4858998271694416,0.33325905311056325,0.33325905311056325,-0.4174881748335564,0.4174881748335564,0.0018942912243265287,0.0018942912243265287,0.0,0.0,0.21280667586115695,0.026195762983900316
Red Bull Racing,VER,TSU,2025,11,2025_11_Q,Austrian Grand Prix,-0.04985316002383086,0.04985316002383086,0.06398461880488213,0.06398461880488213,0.13805641185596,0.13805641185596,0.11592618116902326,0.11592618116902326,-0.2346097308962736,0.2346097308962736,-0.13259847273051778,0.13259847273051778,0.43872860833290006,0.43872860833290006,0.0,0.0,-0.5264642132141997,0.5264642132141997,-0.5318757568171394,0.5318757568171394,0.22320971538447268,-0.07187055135191958
Red Bull Racing,VER,TSU,2025,12,2025_12_Q,British Grand Prix,-0.08735994645826978,0.08735994645826978,0.12796923760976425,0.12796923760976425,0.06473477275215982,0.06473477275215982,0.14153130844416503,0.14153130844416503,-0.29744114147678363,0.29744114147678363,0.8711163889971424,0.8711163889971424,0.5527984476594303,0.5527984476594303,0.0,0.0,-0.14317167190627678,0.14317167190627678,-0.13296893920428485,0.13296893920428485,0.24190918545082774,0.1097208456417047
Red Bull Racing,VER,TSU,2025,13,2025_13_Q,Belgian Grand Prix,-0.03198833157251417,0.03198833157251417,0.3199230940244106,0.3199230940244106,-0.0101099197947268,0.0101099197947268,0.53261254539935,0.53261254539935,-0.1892671569107415,0.1892671569107415,-0.16135195259110358,0.16135195259110358,0.0,0.0,0.0,0.0,-0.06869348791764641,0.06869348791764641,0.0,0.0,0.1313946488210493,0.03911247906370282
Red Bull Racing,VER,TSU,2025,14,2025_14_Q,Hungarian Grand Prix,-0.0329236629050443,0.0329236629050443,-0.12796923760976425,0.12796923760976425,0.045562514795766194,0.045562514795766194,-0.10932767626068937,0.10932767626068937,0.333564902946318,0.333564902946318,0.2766333112687061,0.2766333112687061,0.3591930126702105,0.3591930126702105,0.0,0.0,0.07285818320355349,0.07285818320355349,0.13296893920428485,0.13296893920428485,0.14910014408643374,0.09505602873133415
