season,round,event_name,session_name,session_date,country,location,official_event_name,n_results_rows,n_laps_rows,n_unique_drivers_in_laps,lap_columns_count,results_columns_count,has_compound,has_tyre_life,has_track_status,has_is_personal_best,has_lap_time,has_sector1,has_sector2,has_sector3,n_weather_rows,weather_columns_count,max_rainfall,load_error_type,load_error_msg
2023,21,Las Vegas Grand Prix,Qualifying,2023-11-18 08:00:00,United States,Las Vegas,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,20.0,352.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2023,22,Abu Dhabi Grand Prix,Qualifying,2023-11-25 14:00:00,Abu Dhabi,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,20.0,263.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2024,1,Bahrain Grand Prix,Qualifying,2024-03-01 16:00:00,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,20.0,267.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,77.0,8.0,False,,
2024,2,Saudi Arabian Grand Prix,Qualifying,2024-03-08 17:00:00,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,20.0,316.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,94.0,8.0,False,,
2024,3,Australian Grand Prix,Qualifying,2024-03-23 05:00:00,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,19.0,310.0,19.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,True,,
2024,4,Japanese Grand Prix,Qualifying,2024-04-06 06:00:00,Japan,Suzuka,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,20.0,223.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,76.0,8.0,False,,
2024,5,Chinese Grand Prix,Qualifying,2024-04-20 07:00:00,China,Shanghai,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,20.0,279.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,86.0,8.0,False,,
2024,6,Miami Grand Prix,Qualifying,2024-05-04 20:00:00,United States,Miami,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,20.0,318.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,77.0,8.0,False,,
2024,7,Emilia Romagna Grand Prix,Qualifying,2024-05-18 14:00:00,Italy,Imola,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,20.0,286.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,75.0,8.0,False,,
2024,8,Monaco Grand Prix,Qualifying,2024-05-25 14:00:00,Monaco,Monaco,FORMULA 1 GRAND PRIX DE MONACO 2024,20.0,426.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,76.0,8.0,False,,
2024,9,Canadian Grand Prix,Qualifying,2024-06-08 20:00:00,Canada,Montréal,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,20.0,408.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,True,,
2024,10,Spanish Grand Prix,Qualifying,2024-06-22 14:00:00,Spain,Barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,20.0,257.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,76.0,8.0,False,,
2024,11,Austrian Grand Prix,Qualifying,2024-06-29 14:00:00,Austria,Spielberg,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,20.0,320.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,76.0,8.0,False,,
2024,12,British Grand Prix,Qualifying,2024-07-06 14:00:00,United Kingdom,Silverstone,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,20.0,368.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,85.0,8.0,True,,
2024,13,Hungarian Grand Prix,Qualifying,2024-07-20 14:00:00,Hungary,Budapest,FORMULA 1 HUNGARIAN GRAND PRIX 2024,20.0,334.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,105.0,8.0,True,,
2024,14,Belgian Grand Prix,Qualifying,2024-07-27 14:00:00,Belgium,Spa-Francorchamps,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,20.0,348.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,True,,
2024,15,Dutch Grand Prix,Qualifying,2024-08-24 13:00:00,Netherlands,Zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,20.0,290.0,19.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2024,16,Italian Grand Prix,Qualifying,2024-08-31 14:00:00,Italy,Monza,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,20.0,276.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2024,17,Azerbaijan Grand Prix,Qualifying,2024-09-14 12:00:00,Azerbaijan,Baku,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,20.0,311.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2024,18,Singapore Grand Prix,Qualifying,2024-09-21 13:00:00,Singapore,Marina Bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,20.0,276.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,93.0,8.0,False,,
2024,19,United States Grand Prix,Qualifying,2024-10-19 22:00:00,United States,Austin,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,20.0,281.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,75.0,8.0,False,,
2024,20,Mexico City Grand Prix,Qualifying,2024-10-26 21:00:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,20.0,289.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,81.0,8.0,False,,
2024,21,São Paulo Grand Prix,Qualifying,2024-11-03 10:30:00,Brazil,São Paulo,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,20.0,425.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,107.0,8.0,True,,
2024,22,Las Vegas Grand Prix,Qualifying,2024-11-23 06:00:00,United States,Las Vegas,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,20.0,347.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,98.0,8.0,False,,
2024,23,Qatar Grand Prix,Qualifying,2024-11-30 18:00:00,Qatar,Lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,20.0,374.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2024,24,Abu Dhabi Grand Prix,Qualifying,2024-12-07 14:00:00,United Arab Emirates,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,20.0,261.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,81.0,8.0,False,,
2025,1,Australian Grand Prix,Qualifying,2025-03-15 05:00:00,Australia,Melbourne,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,20.0,297.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,75.0,8.0,False,,
2025,2,Chinese Grand Prix,Qualifying,2025-03-22 07:00:00,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,20.0,314.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,77.0,8.0,False,,
2025,3,Japanese Grand Prix,Qualifying,2025-04-05 06:00:00,Japan,Suzuka,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,20.0,292.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,85.0,8.0,False,,
2025,4,Bahrain Grand Prix,Qualifying,2025-04-12 16:00:00,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,20.0,277.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,87.0,8.0,False,,
2025,5,Saudi Arabian Grand Prix,Qualifying,2025-04-19 17:00:00,Saudi Arabia,Jeddah,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,20.0,289.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,86.0,8.0,False,,
2025,6,Miami Grand Prix,Qualifying,2025-05-03 20:00:00,United States,Miami Gardens,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,20.0,314.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2025,7,Emilia Romagna Grand Prix,Qualifying,2025-05-17 14:00:00,Italy,Imola,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,20.0,281.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,110.0,8.0,False,,
2025,8,Monaco Grand Prix,Qualifying,2025-05-24 14:00:00,Monaco,Monaco,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,20.0,433.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,93.0,8.0,False,,
2025,9,Spanish Grand Prix,Qualifying,2025-05-31 14:00:00,Spain,Barcelona,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,20.0,247.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,77.0,8.0,False,,
2025,10,Canadian Grand Prix,Qualifying,2025-06-14 20:00:00,Canada,Montréal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,20.0,390.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,85.0,8.0,False,,
2025,11,Austrian Grand Prix,Qualifying,2025-06-28 14:00:00,Austria,Spielberg,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,20.0,310.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,88.0,8.0,False,,
2025,12,British Grand Prix,Qualifying,2025-07-05 14:00:00,United Kingdom,Silverstone,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,20.0,291.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,87.0,8.0,False,,
2025,13,Belgian Grand Prix,Qualifying,2025-07-26 14:00:00,Belgium,Spa-Francorchamps,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,20.0,292.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,79.0,8.0,False,,
2025,14,Hungarian Grand Prix,Qualifying,2025-08-02 14:00:00,Hungary,Budapest,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,20.0,264.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,84.0,8.0,False,,
2025,15,Dutch Grand Prix,Qualifying,2025-08-30 13:00:00,Netherlands,Zandvoort,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,20.0,290.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2025,16,Italian Grand Prix,Qualifying,2025-09-06 14:00:00,Italy,Monza,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,20.0,315.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2025,17,Azerbaijan Grand Prix,Qualifying,2025-09-20 12:00:00,Azerbaijan,Baku,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,20.0,335.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,135.0,8.0,True,,
2025,18,Singapore Grand Prix,Qualifying,2025-10-04 13:00:00,Singapore,Marina Bay,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,20.0,298.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,82.0,8.0,False,,
2025,19,United States Grand Prix,Qualifying,2025-10-18 21:00:00,United States,Austin,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,20.0,285.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,88.0,8.0,False,,
2025,20,Mexico City Grand Prix,Qualifying,2025-10-25 21:00:00,Mexico,Mexico City,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,20.0,307.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,78.0,8.0,False,,
2025,21,São Paulo Grand Prix,Qualifying,2025-11-08 18:00:00,Brazil,São Paulo,FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025,20.0,316.0,19.0,31.0,22.0,True,True,True,True,True,True,True,True,82.0,8.0,False,,
2025,22,Las Vegas Grand Prix,Qualifying,2025-11-22 04:00:00,United States,Las Vegas,FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025,20.0,375.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,85.0,8.0,True,,
2025,23,Qatar Grand Prix,Qualifying,2025-11-29 18:00:00,Qatar,Lusail,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025,20.0,358.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,86.0,8.0,False,,
2025,24,Abu Dhabi Grand Prix,Qualifying,2025-12-06 14:00:00,United Arab Emirates,Yas Island,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025,20.0,286.0,20.0,31.0,22.0,True,True,True,True,True,True,True,True,77.0,8.0,False,,
