team,leader_driver,teammate_driver,season,round,session_key,event_name,feature,leader_minus_teammate,abs_gap
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,throttle_mid_frac,0.009991386735572788,0.009991386735572788
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,throttle_diff_abs_mean,0.1800912845033693,0.1800912845033693
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,brake_active_frac,0.009905254091300608,0.009905254091300608
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,rpm_diff_abs_mean,-2.310845468376442,2.310845468376442
Red Bull Racing,VER,RIC,2018,9,2018_9_Q,Austrian Grand Prix,gear_change_count,1.0,1.0
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,LapTimeSeconds,-0.31400000000000716,0.31400000000000716
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,speed_min,-1.0,1.0
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,speed_mean,0.6770954316686186,0.6770954316686186
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,throttle_full_frac,-0.0009194734804491844,0.0009194734804491844
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,throttle_mid_frac,0.021341463414634138,0.021341463414634138
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,throttle_diff_abs_mean,-0.005482322555493191,0.005482322555493191
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,brake_active_frac,0.014263937282229966,0.014263937282229966
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,brake_on_count,1.0,1.0
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,rpm_diff_abs_mean,0.9788747837528149,0.9788747837528149
Red Bull Racing,VER,GAS,2019,10,2019_10_Q,British Grand Prix,gear_change_count,0.0,0.0
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,LapTimeSeconds,-0.06700000000000728,0.06700000000000728
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,speed_min,2.0,2.0
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,speed_mean,0.3497942386831312,0.3497942386831312
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,throttle_full_frac,0.008230452674897082,0.008230452674897082
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,throttle_mid_frac,-0.008230452674897137,0.008230452674897137
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,throttle_diff_abs_mean,-0.46280991735537214,0.46280991735537214
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,brake_active_frac,-0.004115226337448569,0.004115226337448569
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,brake_on_count,0.0,0.0
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,rpm_diff_abs_mean,3.334710743801679,3.334710743801679
Red Bull Racing,VER,GAS,2019,11,2019_11_Q,German Grand Prix,gear_change_count,0.0,0.0
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,LapTimeSeconds,-0.8780000000000001,0.8780000000000001
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,speed_min,-5.0,5.0
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,speed_mean,3.0884336669071786,3.0884336669071786
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,throttle_full_frac,0.023182859114722176,0.023182859114722176
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,throttle_mid_frac,-0.02173981240392761,0.02173981240392761
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,throttle_diff_abs_mean,-0.02997628458498003,0.02997628458498003
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,brake_active_frac,0.006148633811211834,0.006148633811211834
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,brake_on_count,-1.0,1.0
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,rpm_diff_abs_mean,0.9056442687746653,0.9056442687746653
Red Bull Racing,VER,GAS,2019,12,2019_12_Q,Hungarian Grand Prix,gear_change_count,0.0,0.0
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,LapTimeSeconds,-1.838000000000008,1.838000000000008
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,speed_min,-1.0,1.0
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,speed_mean,3.4124298801404507,3.4124298801404507
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,throttle_full_frac,0.031050486298882074,0.031050486298882074
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,throttle_mid_frac,-0.010403971104564341,0.010403971104564341
Red Bull Racing,VER,ALB,2019,13,2019_13_Q,Belgian Grand Prix,throttle_diff_abs_mean,-0.21157218001168943,0.21157218001168943
