subset_name,penalty,C,class_weight,n_drivers,n_samples,mean_train_accuracy,mean_test_accuracy,mean_accuracy_gap,mean_train_macro_f1,mean_test_macro_f1,mean_macro_f1_gap,oof_accuracy,oof_balanced_accuracy,oof_macro_f1
distinctive_top6,l2,2.0,none,6,327,0.9931209967535317,0.8256876456876456,0.16743335106588594,0.9931605770223317,0.8254690390780939,0.167691537944238,0.8256880733944955,0.8255892255892255,0.8265596232850813
distinctive_top6,l2,2.0,balanced,6,327,0.9931209967535317,0.8256876456876456,0.16743335106588594,0.9931605770223317,0.8254690390780939,0.167691537944238,0.8256880733944955,0.8255892255892255,0.8265596232850813
distinctive_top6,l1,1.0,balanced,6,327,0.9602409990933285,0.8258275058275059,0.13441349326582283,0.9602552517413372,0.825673387798842,0.1345818639424951,0.8256880733944955,0.8255331088664423,0.8259712912591874
distinctive_top6,l1,1.0,none,6,327,0.9617706413968587,0.8258275058275059,0.13594313556935303,0.9617288408451208,0.825673387798842,0.1360554530462786,0.8256880733944955,0.8255331088664423,0.8259712912591874
distinctive_top6,l2,4.0,balanced,6,327,0.9969436401392178,0.8226573426573427,0.17428629748187524,0.9969512754087816,0.8225428361175657,0.1744084392912158,0.8226299694189603,0.8226150392817059,0.8236365614486472
distinctive_top6,l2,0.5,none,6,327,0.9533590711005819,0.8196270396270396,0.13373203147354237,0.9534634134133227,0.8192080592747798,0.13425535413854295,0.8195718654434251,0.8195286195286196,0.8208502959801839
distinctive_top6,l2,0.5,balanced,6,327,0.9548857886578339,0.8196270396270396,0.1352587490307943,0.9549785649284741,0.8192080592747798,0.13577050565369447,0.8195718654434251,0.8195286195286196,0.8208502959801839
distinctive_top6,l2,8.0,none,6,327,0.9984732824427482,0.8196270396270396,0.17884624281570846,0.9984756377043909,0.8181707802275847,0.18030485747680616,0.8195718654434251,0.8195286195286194,0.8203085891287899
distinctive_top6,l2,8.0,balanced,6,327,0.9992366412213741,0.8196270396270396,0.17960960159433442,0.9992423264023419,0.8181707802275847,0.18107154617475724,0.8195718654434251,0.8195286195286194,0.8203085891287899
distinctive_top6,l1,4.0,none,6,327,0.9977099236641221,0.8166433566433566,0.1810665670207655,0.9977271748871903,0.8166593527619238,0.18106782212526662,0.8165137614678899,0.8163299663299664,0.8173616923595488
distinctive_top6,l1,4.0,balanced,6,327,0.9977099236641221,0.8166433566433566,0.1810665670207655,0.9977271748871903,0.8166593527619238,0.18106782212526662,0.8165137614678899,0.8163299663299664,0.8173616923595488
distinctive_top6,l1,8.0,none,6,327,1.0,0.8135664335664335,0.18643356643356643,1.0,0.8135463787793844,0.18645362122061548,0.8134556574923547,0.8132435465768798,0.8140757324957804
distinctive_top6,l1,8.0,balanced,6,327,1.0,0.8135664335664335,0.18643356643356643,1.0,0.8135463787793844,0.18645362122061548,0.8134556574923547,0.8132435465768798,0.8140757324957804
distinctive_top6,l2,0.25,none,6,327,0.928890643736656,0.8103962703962704,0.11849437334038544,0.9289869328227551,0.8105869836247186,0.11839994919803656,0.8103975535168195,0.810381593714927,0.8116808007211819
distinctive_top6,l2,0.1,none,6,327,0.8998449884472521,0.8072727272727273,0.09257226117452488,0.9000876252938937,0.8077203250742533,0.09236730021964035,0.8073394495412844,0.8072390572390572,0.8091098255968886
distinctive_top6,l2,0.1,balanced,6,327,0.9021379895294082,0.8072727272727273,0.09486526225668102,0.9023313687028999,0.8077203250742533,0.09461104362864652,0.8073394495412844,0.8072390572390572,0.8091098255968886
distinctive_top6,l2,0.25,balanced,6,327,0.928890643736656,0.8073193473193474,0.1215712964173085,0.9289716987873241,0.8076031406179922,0.12136855816933179,0.8073394495412844,0.8073512906846241,0.8086315623196677
distinctive_top6,l1,0.5,balanced,6,327,0.9296540025152819,0.8075058275058276,0.1221481750094543,0.9297596771927699,0.8076065234875303,0.12215315370523956,0.8073394495412844,0.8072390572390572,0.8080977593370929
distinctive_top6,l1,0.5,none,6,327,0.9296540025152819,0.8075058275058276,0.1221481750094543,0.9297849775778767,0.8076065234875303,0.1221784540903463,0.8073394495412844,0.8072390572390572,0.8080977593370929
distinctive_top6,l2,0.05,balanced,6,327,0.8822672633149076,0.7889510489510488,0.09331621436385848,0.8827785350858353,0.7893711677429989,0.09340736734283646,0.7889908256880734,0.7889450056116724,0.7905292587190521
distinctive_top6,l2,0.05,none,6,327,0.8799742622327512,0.7858741258741258,0.09410013635862544,0.8805885397671499,0.7861965645683957,0.09439197519875435,0.7859327217125383,0.7858585858585858,0.7876104995048167
distinctive_top6,l1,0.25,balanced,6,327,0.871556842443918,0.7615850815850815,0.10997176085883642,0.8717088947245971,0.7640000950260294,0.10770879969856766,0.7614678899082569,0.761391694725028,0.7618138174391461
distinctive_top6,l1,0.25,none,6,327,0.8707905589190137,0.7615384615384615,0.10925209738055222,0.8708791713234649,0.7629405155350775,0.10793865578838764,0.7614678899082569,0.7613355780022446,0.761283648027204
distinctive_top6,l1,0.1,balanced,6,327,0.6957240209411834,0.6729603729603729,0.022763647980810365,0.6945738647574641,0.6691921339339116,0.025381730823552374,0.672782874617737,0.6728395061728395,0.6715793443241634
